screen	depth	path	element_type	element_name	partition	references_widget	h_anchor_start	h_anchor_end	h_offset_start	h_offset_end	h_pivot	h_weight	v_anchor_start	v_anchor_end	v_offset_start	v_offset_end	v_pivot	v_weight	width	height	fit_w	fit_h	visible	pad_l	pad_t	pad_r	pad_b	stack_orientation	item_spacing	size_dist	space_dist	x	y	w	h	w_source	h_source	exact
common/ui/weapons/screens/menuweaponscreen	0	Default	RimeLayerEntityData	Default	common/ui/weapons/screens/menuweaponscreen																											0.000	0.000	1920.000	1080.000	root	root	yes
common/ui/weapons/screens/menuweaponscreen	1	Default/CL_ReadabilityFadeBackgroundVisual	ca959de9-1107-7900-4a87-49f1b9a90f90	CL_ReadabilityFadeBackgroundVisual	common/ui/weapons/screens/menuweaponscreen	common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual	0.0	1.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.5	0.0	1920.0	1080.0	0	0	1	0	0	0	0					0.000	0.000	1920.000	1080.000	stretch	stretch	yes
common/ui/weapons/screens/menuweaponscreen	2	Default/CL_ReadabilityFadeBackgroundVisual/[FlowDirection] Container	RimeContainerElementData	[FlowDirection] Container	common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual		0.0	1.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.5	0.0	256.0	256.0	0	0	1	0	0	0	0					0.000	0.000	1920.000	1080.000	stretch	stretch	yes
common/ui/weapons/screens/menuweaponscreen	3	Default/CL_ReadabilityFadeBackgroundVisual/[FlowDirection] Container/[Stretch Container] BottomStretchGradientFill	RimeViewportStretchContainerElementData	[Stretch Container] BottomStretchGradientFill	common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual		0.0	1.0	0.0	0.0	0.5	0.0	1.0	1.0	0.0	0.0	1.0	1.0	154.0	256.0	0	0	1	0	0	0	0					0.000	824.000	1920.000	256.000	stretch	authored	yes
common/ui/weapons/screens/menuweaponscreen	4	Default/CL_ReadabilityFadeBackgroundVisual/[FlowDirection] Container/[Stretch Container] BottomStretchGradientFill/[Fill] Bottom	RimeFillElementData	[Fill] Bottom	common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual		0.0	1.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.5	0.0	256.0	256.0	0	0	1	0	0	0	0					0.000	824.000	1920.000	256.000	stretch	stretch	yes
common/ui/weapons/screens/menuweaponscreen	3	Default/CL_ReadabilityFadeBackgroundVisual/[FlowDirection] Container/[Stretch Container] RightStretchFill	RimeViewportStretchContainerElementData	[Stretch Container] RightStretchFill	common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual		1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.5	0.0	0.0	1080.0	0	0	1	0	0	0	0					1920.000	0.000	0.000	1080.000	authored	stretch	yes
common/ui/weapons/screens/menuweaponscreen	4	Default/CL_ReadabilityFadeBackgroundVisual/[FlowDirection] Container/[Stretch Container] RightStretchFill/RightStretchFill	RimeFillElementData	RightStretchFill	common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual		0.0	1.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.5	0.0	256.0	256.0	0	0	1	0	0	0	0					1920.000	0.000	0.000	1080.000	stretch	stretch	yes
common/ui/weapons/screens/menuweaponscreen	4	Default/CL_ReadabilityFadeBackgroundVisual/[FlowDirection] Container/[Stretch Container] RightStretchFill/[Fill] Stretched Right Gradient Fill	RimeFillElementData	[Fill] Stretched Right Gradient Fill	common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual		1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.5	0.0	768.0	1080.0	0	0	0	0	0	0	0					1152.000	0.000	768.000	1080.000	authored	stretch	yes
common/ui/weapons/screens/menuweaponscreen	3	Default/CL_ReadabilityFadeBackgroundVisual/[FlowDirection] Container/[Stretch Container] RightGradientFill	RimeViewportStretchContainerElementData	[Stretch Container] RightGradientFill	common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual		1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.5	0.0	256.0	256.0	0	0	1	0	0	0	0					1664.000	0.000	256.000	1080.000	authored	stretch	yes
common/ui/weapons/screens/menuweaponscreen	4	Default/CL_ReadabilityFadeBackgroundVisual/[FlowDirection] Container/[Stretch Container] RightGradientFill/[Fill] Right Gradient Fill	RimeFillElementData	[Fill] Right Gradient Fill	common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual		1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.5	0.0	768.0	1080.0	0	0	1	0	0	0	0					1152.000	0.000	768.000	1080.000	authored	stretch	yes
